SID,error_rate%,capsLock_usage,wpm,negative_ud%,negative_uu%,rsa_ratio,lsa_ratio,mean_hold_time1,mean_hold_time2,mean_f1,mean_f2,mean_f3,mean_f4,UID
1,4.2105263157894735,0,2.520584775667955,15.217391304347828,4.3478260869565215,1.0,0.0,335.0,330.17391304347825,2251.1304347826085,2586.1304347826085,2581.304347826087,2916.304347826087,1
2,8.547008547008547,0,7.401728832377278,6.896551724137931,1.7241379310344827,1.0,0.0,156.93103448275863,156.25862068965517,820.9051724137931,977.8362068965517,977.1637931034483,1134.094827586207,1
3,0.0,0,3.4978138663335416,12.962962962962962,3.7037037037037033,1.0,0.0,203.72222222222223,206.85185185185185,2014.388888888889,2218.1111111111113,2221.240740740741,2424.962962962963,1
4,0.0,0,8.278768721306541,13.636363636363635,4.545454545454546,1.0,0.0,1864.3030303030303,1858.0454545454545,-659.7878787878788,1204.5151515151515,1198.2575757575758,3062.560606060606,1
5,1.5267175572519083,0,14.488047360927235,19.78021978021978,6.593406593406594,1.0,0.0,1897.032967032967,2418.0054945054944,-1758.8241758241759,138.2087912087912,659.1813186813187,2556.214285714286,1
6,0.0,0,9.930157889510443,12.280701754385964,3.508771929824561,1.0,0.0,194.93859649122808,198.8421052631579,857.6228070175439,1052.561403508772,1056.4649122807018,1251.4035087719299,1
7,5.9259259259259265,0,11.068522352265973,14.399999999999999,5.6000000000000005,1.0,0.0,788.96,790.0,-10.344,778.616,779.656,1568.616,1
8,9.937888198757763,0,10.474860335195531,12.5,1.875,1.0,0.0,173.55625,170.9,470.05,643.60625,640.95,814.50625,1
9,0.0,0,16.268980477223426,0.0,0.0,0.0,0.0,121.94117647058823,121.3529411764706,520.8823529411765,642.8235294117648,642.2352941176471,764.1764705882352,1
10,0.0,0,10.47486033519553,15.079365079365079,6.349206349206349,1.0,0.0,906.7539682539683,904.6904761904761,47.06349206349206,953.8174603174604,951.7539682539683,1858.5079365079366,1
11,0.0,0,8.49278113603437,11.538461538461538,5.769230769230769,1.0,0.0,402.1923076923077,401.8173076923077,751.7307692307693,1153.923076923077,1153.548076923077,1555.7403846153845,1
12,3.592814371257485,0,30.48932873494277,11.11111111111111,0.6006006006006006,1.0,0.0,119.15615615615616,119.2012012012012,241.00300300300302,360.1591591591592,360.2042042042042,479.36036036036035,1
13,0.0,0,28.527100745708424,10.69182389937107,1.5723270440251573,1.0,0.0,122.14150943396227,121.94339622641509,254.66352201257862,376.8050314465409,376.6069182389937,498.748427672956,1
14,4.2042042042042045,0,30.473589555718377,7.83132530120482,0.0,1.0,0.0,111.80421686746988,111.66265060240964,249.67469879518072,361.4789156626506,361.33734939759034,473.14156626506025,1
15,2.0648967551622417,0,29.946595238491355,8.284023668639055,0.0,1.0,0.0,112.02958579881657,111.70414201183432,243.44970414201183,355.4792899408284,355.15384615384613,467.1834319526627,1
16,1.3201320132013201,0,32.86422305266227,12.251655629139073,0.9933774834437087,1.0,0.0,119.28807947019868,120.8907284768212,253.61258278145695,372.9006622516556,374.50331125827813,493.7913907284768,1
17,2.4258760107816713,0,39.43985422231097,2.7027027027027026,0.2702702702702703,0.0,0.0,115.62162162162163,115.53513513513514,208.9027027027027,324.5243243243243,324.43783783783783,440.05945945945945,1
18,0.4761904761904762,0,45.78754578754579,1.9093078758949882,0.0,0.0,0.0,112.8926014319809,113.00477326968974,168.2434367541766,281.1360381861575,281.24821002386636,394.14081145584726,1
19,0.0,0,44.455174365847775,4.387990762124711,0.0,0.0,0.0,109.03926096997691,108.85912240184757,168.26789838337183,277.3071593533487,277.1270207852194,386.1662817551963,1
20,2.989130434782609,0,27.085545180194114,3.8147138964577656,0.2724795640326975,0.0,0.0,115.34332425068119,115.25613079019074,210.43051771117166,325.77384196185284,325.6866485013624,441.0299727520436,1
21,1.3544018058690745,0,33.47517258033625,3.167420814479638,0.22624434389140274,0.0,0.0,107.9366515837104,107.79638009049773,163.5452488687783,271.4819004524887,271.341628959276,379.2782805429864,1
22,2.6143790849673203,0,32.266159968450864,2.622950819672131,0.0,0.0,0.0,100.80327868852459,100.90819672131147,173.09180327868853,273.8950819672131,274.0,374.8032786885246,1
1,0.0,0,3.51120660106841,9.615384615384617,3.8461538461538463,0.0,0.0,542.9230769230769,548.5576923076923,1749.6153846153845,2292.5384615384614,2298.173076923077,2841.096153846154,2
2,0.0,0,3.659875564230816,13.157894736842104,5.263157894736842,0.0,0.0,725.1052631578947,711.1315789473684,1854.5263157894738,2579.6315789473683,2565.657894736842,3290.7631578947367,2
3,5.084745762711865,0,5.698847566381021,5.172413793103448,0.0,0.0,0.0,426.9655172413793,425.7586206896552,1202.155172413793,1629.1206896551723,1627.9137931034484,2054.8793103448274,2
4,4.166666666666666,0,1.4796182584893098,5.0,0.0,0.0,0.0,698.9,711.875,2306.325,3005.225,3018.2,3717.1,2
5,2.8846153846153846,0,7.880220646178093,6.862745098039216,0.0,0.0,0.0,585.4705882352941,573.7647058823529,599.156862745098,1184.6274509803923,1172.921568627451,1758.3921568627452,2
6,3.6363636363636362,0,5.535891026823909,9.433962264150944,0.0,0.0,0.0,336.8490566037736,335.6792452830189,1895.6603773584907,2232.509433962264,2231.3396226415093,2568.188679245283,2
7,11.206896551724139,0,7.45051615520253,11.428571428571429,0.0,0.0,0.0,280.6952380952381,285.85714285714283,861.2380952380952,1141.9333333333334,1147.095238095238,1427.7904761904763,2
8,0.881057268722467,0,9.461915788949478,11.607142857142858,0.0,0.0,0.0,215.10714285714286,214.04464285714286,856.6071428571429,1071.7142857142858,1070.6517857142858,1285.7589285714287,2
9,0.0,0,8.37955388851203,4.411764705882353,0.0,0.0,0.0,189.51470588235293,189.89705882352942,1276.6617647058824,1466.1764705882354,1466.5588235294117,1656.0735294117646,2
10,1.8779342723004695,0,8.434666479229634,10.891089108910892,1.9801980198019802,1.0,0.0,186.1089108910891,186.17821782178217,798.6930693069307,984.8019801980198,984.8712871287129,1170.980198019802,2
11,9.45945945945946,0,22.50956656579046,10.580204778156997,1.3651877133105803,1.0,0.0,628.3412969283277,628.4470989761093,-219.27986348122866,409.061433447099,409.1672354948806,1037.5085324232082,2
12,3.7037037037037033,0,16.976374545424285,11.214953271028037,2.803738317757009,1.0,0.0,157.42990654205607,157.35981308411215,403.73364485981307,561.1635514018692,561.0934579439253,718.5233644859813,2
13,8.82800608828006,0,24.918844240271902,8.307692307692308,1.5384615384615385,1.0,0.0,186.59076923076924,186.4923076923077,176.19384615384615,362.7846153846154,362.68615384615384,549.276923076923,2
14,7.573149741824441,0,22.017981351437008,8.51063829787234,1.0638297872340425,1.0,0.0,318.68794326241135,318.6276595744681,106.16666666666667,424.85460992907804,424.79432624113474,743.4822695035461,2
15,1.2944983818770228,0,17.157359196463677,13.071895424836603,3.2679738562091507,1.0,0.0,130.640522875817,132.37254901960785,415.87581699346407,546.5163398692811,548.2483660130719,678.8888888888889,2
16,1.7647058823529411,0,56.08974358974359,13.948919449901767,0.19646365422396855,0.0,0.0,105.16895874263261,104.70923379174853,130.08840864440077,235.2573673870334,234.79764243614932,339.9666011787819,2
